nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,sponsor_name,agency_class,drug_name,intervention_type
NCT04251182,"ClinicalTrials.gov processed this data on January 31, 2020",2020-01-24,,,2020-01-29,2020-01-29,2020-01-31,Estimate,,,,,,,2020-01-29,2020-01-31,Estimate,"February 5, 2020",Anticipated,2020-02-05,January 2020,2020-01-31,"August 13, 2021",Anticipated,2021-08-13,"August 13, 2021",Anticipated,2021-08-13,,Interventional,,,Clinical Study Evaluating Efficacy and Safety of T3D-959 in Mild-to-moderate AD Subjects,"A Randomized, Double-Blind, Placebo-Controlled Multi-Center Study to Evaluate the Safety and Efficacy of Three Dose Strengths of T3D-959 in Subjects With Mild-to-Moderate Alzheimer's Disease",Not yet recruiting,,Phase 2,256,Anticipated,"T3D Therapeutics, Inc.",,4,,,,,,,True,True,False,,,,,,,,,No,A Clinical Study Report (CSR) will be generated within 9 months after database lock. Aggregate study data will be made available in this report.,2020-02-04 05:09:35.057386,2020-02-04 05:09:35.057386,"T3D Therapeutics, Inc.",Industry,15mg T3D-959,Drug
NCT03289143,"ClinicalTrials.gov processed this data on January 31, 2020",2017-09-18,,,2020-01-06,2017-09-18,2017-09-20,Actual,,,,,,,2020-01-06,2020-01-09,Actual,"October 4, 2017",Actual,2017-10-04,January 2020,2020-01-31,"September 20, 2022",Anticipated,2022-09-20,"June 24, 2020",Anticipated,2020-06-24,,Interventional,,,A Study to Evaluate the Efficacy and Safety of Semorinemab in Patients With Prodromal to Mild Alzheimer's Disease,"A Phase II, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Efficacy, and Safety Study of MTAU9937A in Patients With Prodromal to Mild Alzheimer's Disease","Active, not recruiting",,Phase 2,457,Actual,"Genentech, Inc.",,4,,,False,,,,True,True,False,,,,,,,,,,,2020-02-01 08:45:33.720811,2020-02-01 08:45:33.720811,"Genentech, Inc.",Industry,[18F]GTP1,Drug
NCT03828747,"ClinicalTrials.gov processed this data on February 06, 2020",2019-01-29,,,2020-02-04,2019-01-31,2019-02-04,Actual,,,,,,,2020-02-04,2020-02-06,Estimate,"January 30, 2019",Actual,2019-01-30,February 2020,2020-02-29,"June 2, 2023",Anticipated,2023-06-02,"May 7, 2021",Anticipated,2021-05-07,,Interventional,,,A Study of Semorinemab in Patients With Moderate Alzheimer's Disease,"A Phase II, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Efficacy, and Safety Study of MTAU9937A in Patients With Moderate Alzheimer's Disease",Recruiting,,Phase 2,260,Anticipated,"Genentech, Inc.",,2,,,False,,,,True,True,False,,,,,,,,,Yes,"Qualified researchers may request access to individual patient level data through the clinical study data request platform (www.clinicalstudydatarequest.com). Further details on Roche's criteria for eligible studies are available here (https://clinicalstudydatarequest.com/Study-Sponsors/Study-Sponsors-Roche.aspx). For further details on Roche's Global Policy on the Sharing of Clinical Information and how to request access to related clinical study documents, see here (https://www.roche.com/research_and_development/who_we_are_how_we_work/clinical_trials/our_commitment_to_data_sharing.htm)",2020-02-07 05:56:24.743317,2020-02-07 05:56:24.743317,"Genentech, Inc.",Industry,[18F]GTP1,Drug
NCT02168920,"ClinicalTrials.gov processed this data on January 31, 2020",2014-06-18,,,2017-10-13,2014-06-18,2014-06-20,Estimate,,,,,,,2017-10-13,2017-10-16,Actual,"June 11, 2014",Actual,2014-06-11,October 2017,2017-10-31,"March 18, 2016",Actual,2016-03-18,"March 18, 2016",Actual,2016-03-18,,Interventional,,,Aripiprazole for the Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type,"A Multicenter, Randomized, Double-blind, Placebo-controlled Trial to Evaluate the Efficacy, Safety, and Tolerability of Aripiprazole in the Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type",Terminated,,Phase 3,150,Actual,"Otsuka Pharmaceutical Co., Ltd.",,4,,It was difficult to secure enrollment of the targeted number of subjects.,False,,,,True,,,,,,,,,,,,,2020-02-01 12:37:21.845361,2020-02-01 12:37:21.845361,"Otsuka Pharmaceutical Co., Ltd.",Industry,2 mg/day,Drug
NCT04251182,"ClinicalTrials.gov processed this data on January 31, 2020",2020-01-24,,,2020-01-29,2020-01-29,2020-01-31,Estimate,,,,,,,2020-01-29,2020-01-31,Estimate,"February 5, 2020",Anticipated,2020-02-05,January 2020,2020-01-31,"August 13, 2021",Anticipated,2021-08-13,"August 13, 2021",Anticipated,2021-08-13,,Interventional,,,Clinical Study Evaluating Efficacy and Safety of T3D-959 in Mild-to-moderate AD Subjects,"A Randomized, Double-Blind, Placebo-Controlled Multi-Center Study to Evaluate the Safety and Efficacy of Three Dose Strengths of T3D-959 in Subjects With Mild-to-Moderate Alzheimer's Disease",Not yet recruiting,,Phase 2,256,Anticipated,"T3D Therapeutics, Inc.",,4,,,,,,,True,True,False,,,,,,,,,No,A Clinical Study Report (CSR) will be generated within 9 months after database lock. Aggregate study data will be made available in this report.,2020-02-04 05:09:35.057386,2020-02-04 05:09:35.057386,"T3D Therapeutics, Inc.",Industry,30 mg T3D-959,Drug
NCT02168920,"ClinicalTrials.gov processed this data on January 31, 2020",2014-06-18,,,2017-10-13,2014-06-18,2014-06-20,Estimate,,,,,,,2017-10-13,2017-10-16,Actual,"June 11, 2014",Actual,2014-06-11,October 2017,2017-10-31,"March 18, 2016",Actual,2016-03-18,"March 18, 2016",Actual,2016-03-18,,Interventional,,,Aripiprazole for the Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type,"A Multicenter, Randomized, Double-blind, Placebo-controlled Trial to Evaluate the Efficacy, Safety, and Tolerability of Aripiprazole in the Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type",Terminated,,Phase 3,150,Actual,"Otsuka Pharmaceutical Co., Ltd.",,4,,It was difficult to secure enrollment of the targeted number of subjects.,False,,,,True,,,,,,,,,,,,,2020-02-01 12:37:21.845361,2020-02-01 12:37:21.845361,"Otsuka Pharmaceutical Co., Ltd.",Industry,3 mg/day,Drug
NCT04251182,"ClinicalTrials.gov processed this data on January 31, 2020",2020-01-24,,,2020-01-29,2020-01-29,2020-01-31,Estimate,,,,,,,2020-01-29,2020-01-31,Estimate,"February 5, 2020",Anticipated,2020-02-05,January 2020,2020-01-31,"August 13, 2021",Anticipated,2021-08-13,"August 13, 2021",Anticipated,2021-08-13,,Interventional,,,Clinical Study Evaluating Efficacy and Safety of T3D-959 in Mild-to-moderate AD Subjects,"A Randomized, Double-Blind, Placebo-Controlled Multi-Center Study to Evaluate the Safety and Efficacy of Three Dose Strengths of T3D-959 in Subjects With Mild-to-Moderate Alzheimer's Disease",Not yet recruiting,,Phase 2,256,Anticipated,"T3D Therapeutics, Inc.",,4,,,,,,,True,True,False,,,,,,,,,No,A Clinical Study Report (CSR) will be generated within 9 months after database lock. Aggregate study data will be made available in this report.,2020-02-04 05:09:35.057386,2020-02-04 05:09:35.057386,"T3D Therapeutics, Inc.",Industry,45 mg T3D-959,Drug
NCT02168920,"ClinicalTrials.gov processed this data on January 31, 2020",2014-06-18,,,2017-10-13,2014-06-18,2014-06-20,Estimate,,,,,,,2017-10-13,2017-10-16,Actual,"June 11, 2014",Actual,2014-06-11,October 2017,2017-10-31,"March 18, 2016",Actual,2016-03-18,"March 18, 2016",Actual,2016-03-18,,Interventional,,,Aripiprazole for the Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type,"A Multicenter, Randomized, Double-blind, Placebo-controlled Trial to Evaluate the Efficacy, Safety, and Tolerability of Aripiprazole in the Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type",Terminated,,Phase 3,150,Actual,"Otsuka Pharmaceutical Co., Ltd.",,4,,It was difficult to secure enrollment of the targeted number of subjects.,False,,,,True,,,,,,,,,,,,,2020-02-01 12:37:21.845361,2020-02-01 12:37:21.845361,"Otsuka Pharmaceutical Co., Ltd.",Industry,6 mg/day,Drug
NCT01193608,"ClinicalTrials.gov processed this data on January 31, 2020",2010-08-19,2016-06-15,,2017-01-03,2010-08-30,2010-09-02,Estimate,2017-01-03,2017-02-23,Actual,,,,2017-01-03,2017-02-23,Actual,September 2010,,2010-09-30,January 2017,2017-01-31,October 2013,Actual,2013-10-31,October 2013,Actual,2013-10-31,,Interventional,,All participants who were randomized.,Study Evaluating The Safety Of AAB-003 (PF-05236812) In Subjects With Alzheimer's Disease,"A Phase 1, Multicenter, Randomized, Double-blind, Placebo-controlled, Adaptive, Multiple Ascending Dose Study Of The Safety, Tolerability And Pharmacokinetics Of Aab-003 (Pf-05236812) In Subjects With Mild To Moderate Alzheimer's Disease",Completed,,Phase 1,88,Actual,Pfizer,,6,,,False,,,,True,,,,,,,,,,,,,2020-02-01 16:54:41.851869,2020-02-01 16:54:41.851869,Pfizer,Industry,AAB-003 (PF-05236812),Drug
NCT02880956,"ClinicalTrials.gov processed this data on January 31, 2020",2016-08-24,,,2020-01-14,2016-08-24,2016-08-26,Estimate,,,,,,,2020-01-14,2020-01-18,Actual,"October 17, 2016",Actual,2016-10-17,January 2020,2020-01-31,"July 28, 2021",Anticipated,2021-07-28,"April 30, 2021",Anticipated,2021-04-30,,Interventional,,,A Study to Evaluate the Efficacy and Safety of ABBV-8E12 in Subjects With Early Alzheimer's Disease,"A Phase 2 Multiple Dose, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of ABBV-8E12 in Subjects With Early Alzheimer's Disease","Active, not recruiting",,Phase 2,453,Actual,AbbVie,,4,,,True,,,,True,True,False,,,False,,,"Data requests can be submitted at any time and the data will be accessible for 12 months, with possible extensions considered.","Access to this clinical trial data can be requested by any qualified researchers who engage in rigorous, independent scientific research, and will be provided following review and approval of a research proposal and Statistical Analysis Plan (SAP) and execution of a Data Sharing Agreement (DSA). For more information on the process, or to submit a request, visit the following link.",https://www.abbvie.com/our-science/clinical-trials/clinical-trials-data-and-information-sharing/data-and-information-sharing-with-qualified-researchers.html,Yes,"AbbVie is committed to responsible data sharing regarding the clinical trials we sponsor. This includes access to anonymized, individual and trial-level data (analysis data sets), as well as other information (e.g., protocols and clinical study reports), as long as the trials are not part of an ongoing or planned regulatory submission. This includes requests for clinical trial data for unlicensed products and indications.",2020-02-01 10:02:59.856443,2020-02-01 10:02:59.856443,AbbVie,Industry,ABBV-8E12,Drug
